state,characteristic,count,mean,min,max,std,trend_slope
,Tributyl phosphate,8,0.029249999999999998,0.016,0.045,0.009404121436902012,-1.3845649617894307e-05
,Lorazepam-D4,8,110.23750000000001,85.8,136.0,15.403728241890015,0.13151442366809574
,Tamoxifen-d5,8,83.975,26.2,153.0,42.36616427055912,0.4275972029806453
,.beta.-Sitosterol,8,0.825,0.3,1.4,0.3733296130767019,0.0002531151997628823
,Triamterene,8,17.62625,1.91,64.0,18.381090104710875,0.013436723230559628
,Dextromethorphan,8,6.56625,3.02,13.3,3.595455247600782,-0.0031297427694408904
,2-Chloro-4-isopropylamino-6-amino-s-triazine,8,80.05125,8.51,524.0,167.8704817290327,0.7409047891265889
,Diltiazem,8,15.385,4.89,28.5,7.040227269058862,0.0005475317109802984
,Tris(2-chloroethyl) phosphate,8,0.0625,0.02,0.11,0.024366985862022406,-5.984891369367368e-05
,"1-(3,4-dichlorophenyl)-3-methyl urea",8,11.11375,5.25,33.7,8.761418175015962,0.020363466614832546
,Oxazepam-d5,8,113.75,101.0,135.0,11.166355717063647,0.09982211219228282
,Coprosterol,8,0.6625,0.1,1.9,0.5242554243877692,-0.00038435943992927923
,Atenolol,8,63.0,20.7,146.0,45.07954081398789,-0.04951144344170677
,Triclosan,7,0.06285714285714285,0.04,0.1,0.022497165354319462,3.846788268538308e-05
,Sulfate,7,49.51428571428571,33.7,77.1,14.829644882698261,-0.0786416334984773
,Tris(2-butoxyethyl) phosphate,7,0.29714285714285715,0.15,0.54,0.1261194768819614,-0.00021504733698312283
,Sitagliptin,7,95.01428571428572,20.9,198.0,50.05324104166992,0.010682176152569028
,Pseudoephedrine/Ephedrine mix,7,17.39857142857143,3.99,34.9,10.377228405877704,-0.07749692722671778
,Magnesium,7,12.635714285714286,9.05,17.5,2.9460281113141233,-0.014629508454813363
,Fluoride,7,0.2057142857142857,0.15,0.31,0.05314592925068078,-0.00023338064617700746
,Carbazole,7,0.03157142857142857,0.006,0.092,0.02905589265466101,9.490526514486189e-06
,Calcium,7,56.5,44.6,74.4,12.785259369401045,-0.06195561530476196
,Benzo[a]pyrene,7,0.09285714285714287,0.02,0.31,0.1052499454651078,-6.410267585523991e-05
,"Hardness, Ca, Mg",7,193.14285714285714,149.0,258.0,43.783325499974694,-0.2143431714528897
,"3,4-Dichlorophenyl isocyanate",7,0.06571428571428571,0.02,0.18,0.054995361585486166,-5.568598946029424e-05
,5-Tolyltriazole,7,0.20714285714285716,0.11,0.4,0.09222864223753699,-9.871608189255187e-05
,4-Nonylphenols,7,0.2285714285714286,0.1,0.4,0.10301575072754256,0.0001245431461918379
,Fluconazole,6,44.81666666666667,24.7,84.6,19.76034890605145,0.012494543159823795
,Citalopram,6,9.276666666666666,1.54,13.8,4.06811449636752,-0.00552267862210393
,Ranitidine,6,52.376666666666665,6.06,101.0,34.96553620670249,0.08505545891313492
,Anthracene,6,0.028333333333333335,0.01,0.07,0.023392781412697,2.0710023409578993e-05
,Tebuthiuron,6,3.1200000000000006,1.88,4.61,1.0900305806107766,-0.0062995482976162835
,Acetaminophen,6,152.58666666666667,7.22,555.0,184.97868045324094,0.3620552787788195
,"Ethanamine, 2-(diphenylmethoxy)-N,N-dimethyl-",6,9.746666666666668,3.46,24.7,7.255323715880789,-0.0028758736347093855
,AHTN,6,0.016666666666666666,0.01,0.03,0.007453559924999299,-8.206770685654731e-06
,Isophorone,6,0.0165,0.011,0.029,0.006500000000000001,1.455731856051544e-05
,"4,4'-Isopropylidenediphenol",6,0.04833333333333333,0.02,0.09,0.02266911751455907,4.0650750453263793e-05
,Meprobamate,6,19.888333333333332,9.03,42.8,10.977523121765167,0.0048077463358128505
,2-Isopropyl-6-methyl-4-pyrimidinol,6,6.233333333333333,4.2,12.1,2.6960877005188255,0.012757207374719852
,Fipronil Sulfone,5,2.092,1.31,2.79,0.49430355046266866,-0.0009478044872656523
,Metochlor ESA,5,119.38000000000002,67.2,267.0,74.3239234701721,0.7032610085681402
,Propiconazole,5,8.870000000000001,5.73,12.8,2.6413102809022644,0.026549963906362765
,Carbaryl,5,1.716,0.02,3.18,1.3886050554423313,-0.0010412240230957283
,"Morphinan-6-one, 4,5-epoxy-14-hydroxy-3-methoxy-17-methyl-, (5.alpha.)-",5,11.012,6.55,18.3,4.259339854954052,-0.007876085090145939
,Dechlorometolachlor,5,3.4480000000000004,1.26,10.3,3.4442845410912266,0.010243264887179462
,4-Hydroxychlorothalonil,4,105.05,35.2,152.0,45.962022366297155,0.3919535408936925
,Pentachlorophenol,4,0.125,0.1,0.2,0.04330127018922193,-5.1101532476068816e-05
,p-Cresol,4,0.0325,0.01,0.06,0.017853571071357124,2.7459889879212655e-05
,1-Methylnaphthalene,4,0.02,0.01,0.03,0.007071067811865475,-2.8799227967925722e-05
,Deethylhydroxyatrazine,4,17.812499999999996,2.76,57.8,23.120155033000966,0.13737497812773403
,"(1R,2S,5R)-Menthol",4,0.07750000000000001,0.02,0.12,0.037666297933298405,0.00016451233842538197
,Tribromomethane,4,0.034999999999999996,0.01,0.09,0.032015621187164243,4.075624712684258e-05
,Naphthalene,4,0.022500000000000003,0.01,0.03,0.0082915619758885,1.263761482310484e-05
,Acetochlor OA,4,87.225,29.0,251.0,94.59176430852742,0.5955433904257323
,2-Methylnaphthalene,4,0.0275,0.02,0.03,0.004330127018922192,-2.3689074720318908e-05
,Triphenyl phosphate,4,0.02,0.01,0.03,0.007071067811865475,-1.3292165995080844e-05
,Sulfentrazone,3,8.826666666666666,3.19,15.0,4.836323213167439,0.10121100917431192
,"2-Chloro-4,6-diamino-s-triazine",3,128.13333333333333,41.7,290.0,114.54508088763811,3.745669291338582
,Azoxystrobin,3,4.036666666666666,1.46,8.34,3.062638658992529,-0.10652782701169801
,Stigmastan-3.beta.-ol,3,0.3333333333333333,0.2,0.5,0.1247219128924647,0.00020519183050200418
,"2,6-Dimethylnaphthalene",3,0.01,0.01,0.01,0.0,0.0
,Acetochlor,3,9.126666666666667,5.78,12.6,2.7856936100168816,0.10486614173228342
,Propoxur,3,2.5033333333333334,2.14,2.81,0.2764456948882044,0.0034810126582278432
,Piperonyl butoxide,3,4.346666666666667,3.8,4.84,0.4262497963505542,0.0008167738769996405
,4-Nonylphenol diethoxylate,3,0.5333333333333333,0.5,0.6,0.04714045207910316,-0.00012145211918262245
,Sulfometuron methyl,3,10.243333333333334,7.71,13.7,2.531064773744222,-0.03788095238095238
,Propranol,3,7.063333333333333,5.05,9.54,1.8620836596553751,-0.016163429725031327
,Hydrocodone,3,8.483333333333333,5.38,10.3,2.2050296042356337,0.00793596086242187
,Metalaxyl,3,6.116666666666667,1.91,14.3,5.787252274515851,0.03551737451737452
,Desisopropyl atrazine,3,103.06666666666668,17.1,273.0,120.16378637324789,4.0
,Nicotine,3,260.6666666666667,57.0,579.0,228.00925907125398,3.234923637705902
,Codeine,3,9.946666666666667,6.94,11.7,2.135811061140214,0.007691764036383995
,Methadone,3,2.9766666666666666,2.06,3.98,0.7862286916384796,-0.00702114137241341
,Metribuzin DA,3,118.95,2.48,350.0,163.3788437956396,0.9154784053156145
,Fipronil Desulfinyl,3,2.0166666666666666,0.85,2.82,0.8442879972036923,-0.0011666081043864756
,Loratadine,3,0.5933333333333334,0.45,0.81,0.15584892970081282,0.0012139933080359637
,Carisoprodol,2,10.09,6.68,13.5,3.41,-0.025833333333333326
,Tebuthiuron Transformation Product 108,2,1.365,1.02,1.71,0.345,-0.027600000000000003
,Diazinon,2,1.71,1.09,2.33,0.62,-0.004065573770491804
,3-Methylindole,2,0.015,0.01,0.02,0.005,4.6296296296296274e-05
,Albuterol,2,2.925,2.23,3.62,0.6950000000000001,0.0026885880077369435
,"2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethanol",2,0.1,0.1,0.1,0.0,-3.2311496642175684e-20
,Diethyl phthalate,2,0.1,0.1,0.1,0.0,-3.2311496642175684e-20
,Thiamethoxam,2,5.35,5.1,5.6,0.25,0.019230769230769197
,Famotidine,2,15.45,12.5,18.4,2.9499999999999993,-0.03532934131736526
,"Hydroxy-amitriptyline, 10-",2,1.5350000000000001,1.11,1.96,0.42499999999999993,0.0016441005802707925
,Bromacil,2,9.295,7.49,11.1,1.8049999999999997,0.06016666666666662
,2-Aminobenzimidazole,2,6.76,5.07,8.45,1.6899999999999995,0.03520833333333331
,"p-(1,1,3,3-Tetramethylbutyl)phenol",2,0.1,0.1,0.1,0.0,-3.2311496642175684e-20
,"1,7-Dimethylxanthine",2,125.6,65.2,186.0,60.4,0.4575757575757575
,Camphor,2,0.025,0.02,0.03,0.004999999999999999,1.8148820326678757e-05
,Simazine,2,115.815,5.63,226.0,110.185,6.2962857142857125
,Indole,2,0.02,0.02,0.02,0.0,-4.956352788505163e-20
,Verapamil,1,0.85,0.85,0.85,0.0,0.0
,Metolachlor OA,1,119.0,119.0,119.0,0.0,0.0
,Hydroxymetolachlor,1,14.0,14.0,14.0,0.0,0.0
,Triclopyr,1,51.5,51.5,51.5,0.0,0.0
,Flumetsulam,1,114.0,114.0,114.0,0.0,0.0
,Hydroxyacetochlor,1,38.7,38.7,38.7,0.0,0.0
,Glyphosate,1,0.05,0.05,0.05,0.0,0.0
,Trihalomethanes,1,0.1,0.1,0.1,0.0,0.0
,Isoxaflutole acid metabolite RPA 203328,1,150.0,150.0,150.0,0.0,0.0
,"2-[2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethoxy]ethanol",1,0.1,0.1,0.1,0.0,0.0
,Phenol,1,0.03,0.03,0.03,0.0,0.0
,Temazepam,1,15.7,15.7,15.7,0.0,0.0
,Metribuzin,1,12.7,12.7,12.7,0.0,0.0
,Thiabendazole,1,3.17,3.17,3.17,0.0,0.0
,Chlorimuron-ethyl,1,13.2,13.2,13.2,0.0,0.0
,Pentoxifylline,1,1.32,1.32,1.32,0.0,0.0
,Propazine,1,13.0,13.0,13.0,0.0,0.0
,Cimetidine,1,15.1,15.1,15.1,0.0,0.0
,Clothianidin,1,4.3,4.3,4.3,0.0,0.0
,Hydroxyzine,1,0.74,0.74,0.74,0.0,0.0
,Oseltamivir,1,5.87,5.87,5.87,0.0,0.0
,Quinine,1,2.09,2.09,2.09,0.0,0.0
,Di(2-ethoxylhexyl) phthalate,1,8.0,8.0,8.0,0.0,0.0
,"Benzenepropanenitrile, .alpha.-(cyclopropylcarbonyl)- 2-(methylsulfonyl)-.beta.- oxo-4-(trifluoromethyl)-",1,248.0,248.0,248.0,0.0,0.0
,Dichlorvos,1,0.01,0.01,0.01,0.0,0.0
,Aminomethylphosphonic acid,1,0.43,0.43,0.43,0.0,0.0
,Ametryn,1,3.25,3.25,3.25,0.0,0.0
,Dilantin,1,25.7,25.7,25.7,0.0,0.0
,Alachlor OA,1,14.2,14.2,14.2,0.0,0.0
,Acetochlor sulfinylacetic acid,1,69.0,69.0,69.0,0.0,0.0
,Dinotefuran,1,4.7,4.7,4.7,0.0,0.0
,Acetochlor ESA,1,187.0,187.0,187.0,0.0,0.0
,Morphine,1,18.5,18.5,18.5,0.0,0.0
,Metribuzin DADK,1,130.0,130.0,130.0,0.0,0.0
,Acephate,1,9.1,9.1,9.1,0.0,0.0
,Hydroxysimazine,1,33.3,33.3,33.3,0.0,0.0
